time,voltage,height
19.1636815071106,5,0.0741
21.1835050582886,5,0.0741
22.1914541721344,5,0.0741
23.1994473934174,5,0.0741
24.2074174880981,5,0.0741
25.2153966426849,5,0.0741
26.2260336875916,5,0.0741
27.2354345321655,5,0.0741
28.2434661388397,5,0.0741
29.2514414787292,5,0.0741
30.2554774284363,5,0.0741
31.2636070251465,5,0.0741
32.2795062065125,5,0.0741
33.2874825000763,5,0.0699
34.2954230308533,5,0.0697
35.3034143447876,5,0.0699
36.3154220581055,5,0.0733
37.3302903175354,5,0.069
38.3474638462067,5,0.0733
39.3554310798645,5,0.0733
41.3635392189026,5,0.0733
42.3743352890015,5,0.0733
43.3835611343384,5,0.0775
44.3914406299591,5,0.0775
45.399489402771,5,0.0733
46.4112663269043,5,0.0775
47.4234404563904,5,0.0733
48.4353606700897,5,0.0775
49.4473054409027,5,0.0733
50.4593253135681,5,0.0733
51.4714212417603,5,0.0775
52.4794237613678,5,0.0775
53.4889032840729,5,0.0733
54.4994413852692,5,0.0733
55.5115039348602,5,0.0733
56.5272510051727,5,0.0733
57.5354471206665,5,0.0733
58.5434489250183,5,0.0733
59.5515716075897,5,0.0733
61.5633382797241,5,0.069
62.5755414962769,5,0.069
63.5874128341675,5,0.069
64.5982761383057,5,0.069
65.6090087890625,5,0.069
66.6247596740723,5,0.069
67.6354193687439,5,0.069
68.6435611248016,5,0.069
69.651433467865,5,0.069
70.6594974994659,5,0.069
71.6754169464111,5,0.069
72.683413028717,5,0.069
73.6882617473602,5,0.0682
74.7034068107605,5,0.068
75.7114288806915,5,0.0682
76.7155039310455,5,0.0724
77.7234251499176,5,0.0724
78.7394273281097,5,0.0724
79.7514107227325,5,0.0724
81.7635264396667,5,0.0724
82.7714102268219,5,0.0724
83.7754156589508,5,0.0724
84.7914199829102,5,0.0724
85.7994086742401,5,0.0724
86.803427696228,5,0.0724
87.8154540061951,5,0.0724
88.8194441795349,5,0.0724
89.8314208984375,5,0.0724
90.8394584655762,5,0.0724
91.847421169281,5,0.0724
92.855485200882,5,0.0724
93.8639497756958,5,0.0724
94.8714303970337,5,0.0724
95.8754193782806,5,0.0724
96.8874258995056,5,0.0724
97.897340297699,5,0.0724
98.9114356040955,5,0.068
99.9193866252899,5,0.068
